-003761	0000	Adam            	-002830	0930	Spiro,Artscroll
       	0687	Methuselah      	    	1656	Artscroll
-002704	1056	Noach           	    	2006	Spiro,Artscroll
-002104	1656	The Flood               	    	Spiro
       	1948	Avraham         	    	2123	Spiro,Artscroll
       	2048	Isaac           	    	2228	Artscroll
       	2108	Yaacov          	    	2255	Artscroll
       	2964	Kingdom Divided 	    	    	Artscroll
       	3205	10 Tribes Exiled	    	    	Artscroll
       	3338	Temple Destroyed	    	    	Artscroll
2008	5768	Israel 60 år    	    	    	Spiro
